 Program: FIND Thu Jul 21 12:40:42 2022

 Threshold above background:   50.0
 Approximate FWHM:      3.50000
 Sharpness Limits: Low  0.20  High  1.00
 Roundness Limits: Low -1.00  High  1.00

 No of sources above threshold  5748
 No. of sources rejected by SHARPNESS criteria     439
 No. of sources rejected by ROUNDNESS criteria     760
 No. of sources rejected by CENTROID  criteria       7

             STAR       X       Y     FLUX     SHARP    ROUND
                1  747.40    2.97    322.7     0.50    -0.30
                2  683.24    4.07    500.5     0.44    -0.47
                3  917.80    4.65    241.1     0.42    -0.85
                4  139.98    5.74   3187.2     0.39    -0.09
                5  916.64    5.69    151.5     0.33    -0.11
                6  991.48    5.64     91.5     0.42    -0.37
                7  291.87    6.50    315.2     0.41    -0.03
                8  380.76    7.45    136.8     0.42     0.69
                9   77.67    7.58     53.7     0.54     0.49
               10  130.18    7.19     51.8     0.37    -0.04
               11  215.46    7.87    463.7     0.44    -0.05
               12  675.63    7.75    699.7     0.41     0.10
               13  703.39    7.09     63.1     0.51     0.86
               14  748.31    7.92     81.7     0.45     0.41
               15  115.54    8.81     56.2     0.44    -0.15
               16  587.89    9.27     61.9     0.55     0.67
               17  922.53    8.92    115.7     0.44    -0.07
               18  937.02    8.77     58.8     0.32    -0.24
               19  402.30    9.41     64.5     0.31    -0.56
               20  799.15    9.70    134.6     0.38     0.18
               21   48.86   10.98    111.2     0.41     0.08
               22  232.44   10.74     67.4     0.52    -0.06
               23  542.30   10.60    102.4     0.42     0.26
               24  324.34   12.30     97.3     0.42     0.07
               25  382.60   11.86    319.8     0.42     0.05
               26  789.21   12.13    137.3     0.39    -0.06
               27  891.21   12.00    119.8     0.32    -0.48
               28  906.02   12.00    161.3     0.32     0.22
               29  951.90   12.05     66.2     0.45     0.11
               30    6.09   11.44     52.2     0.56    -0.27
               31   79.98   13.12    107.0     0.48     0.08
               32  285.58   12.94    472.1     0.45     0.03
               33  568.23   13.33     51.7     0.52    -0.34
               34  655.08   13.09    163.3     0.35     0.13
               35  946.72   12.51     56.1     0.47     0.65
               36  993.99   13.05    851.0     0.41     0.12
               37  630.82   14.70    127.4     0.55     0.04
               38  679.26   14.89     84.7     0.42    -0.38
               39  939.46   14.85     75.9     0.45     0.56
               40   44.81   15.99    109.7     0.49     0.22
               41   55.38   15.93    530.2     0.40    -0.09
               42   83.81   16.00     98.5     0.48     0.64
               43  726.22   15.63     98.5     0.41     0.11
               44  106.39   16.57     74.3     0.37    -0.33
               45  559.05   16.99    214.8     0.40     0.26
               46  769.37   16.46    388.3     0.47     0.20
               47  903.40   17.00     65.4     0.62    -0.21
               48 1011.20   17.18     58.9     0.27     0.25
               49  377.37   17.45     63.0     0.48     0.17
               50  534.21   17.98     50.9     0.54    -0.74
               51  649.40   18.17     59.2     0.45    -0.47
               52  818.30   17.63     98.7     0.47     0.23
               53  994.47   18.02    791.8     0.42     0.21
               54  699.76   18.92    441.0     0.39     0.06
               55  781.05   18.77    228.5     0.44     0.12
               56  851.02   20.09    146.3     0.37    -0.07
               57  950.87   19.74     80.4     0.43     0.16
               58  160.19   20.51     77.3     0.37     0.13
               59  361.95   20.20    260.5     0.47     0.39
               60  617.04   20.91     62.8     0.34    -0.44
               61  893.29   20.72     58.7     0.39     0.48
               62  921.16   20.42    570.1     0.45     0.26
               63  187.07   21.91    112.8     0.36    -0.46
               64   24.07   22.86    221.9     0.41    -0.24
               65  174.06   23.31     95.9     0.25    -0.00
               66  191.55   22.63     52.6     0.50    -0.16
               67  547.23   23.04    757.1     0.38     0.05
               68  725.30   22.62     56.0     0.40    -0.00
               69  843.34   22.95    110.5     0.31     0.15
               70  234.03   23.86   1873.2     0.39    -0.06
               71  346.58   24.06    193.2     0.37    -0.06
               72  468.78   23.69    120.5     0.31    -0.38
               73  671.20   24.18     50.8     0.68    -0.35
               74  775.11   23.60     55.1     0.40     0.31
               75  861.51   24.00     58.1     0.49     0.68
               76  385.77   24.77    178.6     0.44     0.19
               77  785.98   25.32    199.4     0.36     0.06
               78  115.29   25.75     77.3     0.45    -0.60
               79  308.94   25.76    125.4     0.37    -0.20
               80  565.69   26.10    242.3     0.31    -0.17
               81  909.05   25.65    161.7     0.43     0.18
               82  983.39   26.01     62.0     0.42     0.35
               83  398.69   26.99     67.2     0.28    -0.08
               84  944.82   27.26     55.9     0.38     0.39
               85  281.10   27.46    165.4     0.43     0.13
               86  845.28   27.19     72.8     0.42     0.85
               87  862.90   27.87     62.0     0.61     0.17
               88   71.85   28.61     67.9     0.28     0.39
               89  629.53   28.98    110.1     0.42     0.26
               90  708.97   28.54     79.1     0.49     0.48
               91  785.41   28.16    115.1     0.48     0.61
               92  196.93   30.38     66.9     0.33     0.12
               93  417.10   29.89     56.1     0.31     0.14
               94   41.62   31.11     77.1     0.66    -0.40
               95  146.75   30.87    101.0     0.41     0.38
               96  495.75   30.76     87.9     0.40     0.57
               97  676.78   30.65     60.8     0.48     0.98
               98  940.02   30.78    196.7     0.46     0.02
               99   36.47   32.67    144.3     0.44    -0.00
              100   89.85   32.56     71.2     0.56     0.19
              101  375.60   32.78    255.6     0.45    -0.06
              102  586.14   32.60     55.8     0.53     0.39
              103  961.03   32.58   3215.2     0.44     0.12
              104    2.85   33.92    227.2     0.48     0.92
              105   16.75   34.19     89.5     0.38    -0.38
              106  235.69   34.33     82.7     0.46     0.34
              107  446.02   33.91    251.8     0.37     0.21
              108  555.12   34.60     81.6     0.36     0.80
              109  610.60   34.49     52.3     0.36    -0.54
              110  732.51   33.86     85.6     0.55     0.23
              111  753.15   33.92     69.6     0.44     0.38
              112  920.72   34.01    166.1     0.34     0.06
              113  347.04   34.33   1328.2     0.42     0.16
              114  903.70   35.33     97.7     0.45     0.27
              115  945.81   34.88     56.0     0.53    -0.76
              116  972.04   34.13     67.3     0.50     0.72
              117  989.09   34.75    283.2     0.42     0.00
              118   62.99   35.35     68.6     0.52     0.02
              119  205.70   35.95     61.5     0.24     0.15
              120  571.04   35.89    170.7     0.36     0.07
              121  614.85   35.47    367.3     0.46     0.23
              122  912.03   35.73    349.7     0.42     0.12
