xcentroid	ycentroid	sharpness	roundness1	roundness2	npix	sky	peak	flux	mag
683.38	4.02	0.44	-0.24	-0.43	25.00	0.00	360.55	6.72	-2.07
917.76	4.62	0.42	-0.65	-0.69	25.00	0.00	183.35	3.24	-1.28
411.95	4.87	0.35	-0.20	-0.96	25.00	0.00	208.00	3.59	-1.39
140.07	5.75	0.39	0.11	-0.10	25.00	0.00	3180.87	42.80	-4.08
916.86	5.53	0.33	-0.34	0.02	25.00	0.00	148.24	2.03	-0.77
991.46	5.15	0.42	0.19	-0.08	25.00	0.00	95.56	1.23	-0.22
291.95	6.37	0.41	-0.00	-0.04	25.00	0.00	303.02	4.23	-1.57
380.82	7.44	0.42	-0.02	0.62	25.00	0.00	162.04	1.84	-0.66
215.37	7.92	0.44	0.14	0.00	25.00	0.00	449.35	6.23	-1.99
675.50	7.72	0.41	0.15	0.09	25.00	0.00	632.44	9.39	-2.43
748.45	8.06	0.45	0.17	0.24	25.00	0.00	63.85	1.10	-0.10
922.69	8.95	0.44	0.03	-0.07	25.00	0.00	126.50	1.55	-0.48
799.22	9.64	0.38	0.24	0.16	25.00	0.00	107.71	1.81	-0.64
48.94	11.07	0.41	-0.25	0.05	25.00	0.00	141.55	1.49	-0.44
542.43	10.57	0.42	-0.16	0.19	25.00	0.00	90.62	1.37	-0.35
3.84	11.39	0.35	0.22	0.94	25.00	0.00	150.85	2.28	-0.90
324.14	12.58	0.42	-0.57	0.12	25.00	0.00	95.18	1.31	-0.29
382.49	11.83	0.42	0.27	0.01	25.00	0.00	323.66	4.29	-1.58
789.27	12.25	0.39	0.57	-0.03	25.00	0.00	100.78	1.84	-0.66
891.15	12.06	0.32	0.27	-0.44	25.00	0.00	121.39	1.61	-0.52
905.97	12.06	0.32	-0.61	0.18	25.00	0.00	135.53	2.17	-0.84
79.99	13.27	0.48	-0.17	0.14	25.00	0.00	152.05	1.44	-0.39
285.53	13.01	0.45	0.16	0.07	25.00	0.00	460.85	6.34	-2.01
655.11	13.19	0.35	0.50	0.10	25.00	0.00	135.93	2.19	-0.85
993.96	13.09	0.41	-0.41	0.08	25.00	0.00	787.07	11.43	-2.64
630.79	14.63	0.55	0.23	0.03	25.00	0.00	117.45	1.71	-0.58
679.28	14.88	0.42	-0.14	-0.37	25.00	0.00	71.56	1.14	-0.14
939.62	14.91	0.45	0.46	0.32	25.00	0.00	78.44	1.02	-0.02
44.70	16.23	0.49	0.13	0.15	25.00	0.00	122.85	1.47	-0.42
55.21	16.03	0.40	0.14	-0.03	25.00	0.00	533.69	7.12	-2.13
83.90	16.11	0.48	0.33	0.53	25.00	0.00	159.12	1.32	-0.30
726.39	15.54	0.41	0.13	0.18	25.00	0.00	82.47	1.32	-0.30
559.14	17.09	0.40	0.75	0.24	25.00	0.00	180.66	2.88	-1.15
769.50	16.35	0.47	-0.25	0.17	25.00	0.00	358.92	5.21	-1.79
818.24	17.61	0.47	-0.36	0.12	25.00	0.00	97.82	1.33	-0.31
994.59	18.05	0.42	-0.07	0.17	25.00	0.00	797.13	10.63	-2.57
699.65	18.95	0.39	0.09	0.05	25.00	0.00	377.93	5.92	-1.93
781.11	18.74	0.44	-0.19	0.10	25.00	0.00	190.94	3.07	-1.22
850.99	20.21	0.37	0.22	0.04	25.00	0.00	118.35	1.96	-0.73
950.65	19.51	0.43	-0.61	0.11	25.00	0.00	63.50	1.08	-0.08
160.38	20.41	0.37	0.16	-0.06	25.00	0.00	89.57	1.04	-0.04
361.99	20.05	0.47	0.22	0.34	25.00	0.00	266.07	3.50	-1.36
921.18	20.27	0.45	-0.21	0.20	25.00	0.00	522.79	7.66	-2.21
187.11	21.98	0.36	-0.54	-0.43	25.00	0.00	122.10	1.51	-0.45
24.14	22.91	0.41	-0.16	-0.19	25.00	0.00	259.65	2.98	-1.19
174.26	23.43	0.25	0.72	0.03	25.00	0.00	78.96	1.29	-0.27
547.36	23.15	0.38	0.53	0.05	25.00	0.00	674.93	10.17	-2.52
843.56	23.02	0.31	0.03	0.08	25.00	0.00	85.33	1.48	-0.43
234.16	23.92	0.39	0.20	-0.06	25.00	0.00	1818.01	25.15	-3.50
346.46	24.25	0.37	-0.18	0.02	25.00	0.00	164.54	2.59	-1.04
468.86	23.70	0.31	-0.59	-0.38	25.00	0.00	136.47	1.62	-0.52
385.76	24.79	0.44	0.04	0.17	25.00	0.00	152.42	2.40	-0.95
785.82	25.50	0.36	-0.02	0.06	25.00	0.00	211.78	2.68	-1.07
115.13	25.72	0.45	0.48	-0.46	25.00	0.00	80.18	1.04	-0.04
308.92	25.77	0.37	-0.24	-0.13	25.00	0.00	108.05	1.68	-0.57
565.63	26.15	0.31	0.46	-0.18	25.00	0.00	233.49	3.25	-1.28
909.05	25.56	0.43	-0.18	0.15	25.00	0.00	138.79	2.17	-0.84
281.19	27.36	0.43	0.16	0.08	25.00	0.00	165.74	2.22	-0.87
629.39	28.99	0.42	0.28	0.24	25.00	0.00	106.21	1.48	-0.42
708.84	28.35	0.49	0.68	0.45	25.00	0.00	73.74	1.06	-0.06
785.59	28.41	0.48	-0.39	0.41	25.00	0.00	133.11	1.55	-0.47
41.66	31.33	0.66	-0.48	-0.23	25.00	0.00	117.91	1.04	-0.04
146.78	31.05	0.41	0.42	0.34	25.00	0.00	111.69	1.36	-0.33
495.74	30.96	0.40	0.85	0.59	25.00	0.00	66.88	1.18	-0.18
939.98	30.76	0.46	-0.47	-0.02	25.00	0.00	165.16	2.64	-1.05
36.21	32.75	0.44	0.13	-0.01	25.00	0.00	189.88	1.94	-0.72
375.55	32.82	0.45	0.13	-0.02	25.00	0.00	239.31	3.43	-1.34
961.01	32.46	0.44	-0.14	0.09	25.00	0.00	2834.92	43.17	-4.09
16.50	34.44	0.38	0.38	-0.28	25.00	0.00	145.61	1.20	-0.20
235.72	34.46	0.46	0.49	0.36	25.00	0.00	89.25	1.11	-0.11
446.10	33.95	0.37	0.58	0.19	25.00	0.00	206.53	3.38	-1.32
555.27	34.89	0.36	0.91	0.70	25.00	0.00	76.60	1.10	-0.10
732.50	33.82	0.55	-0.28	0.23	25.00	0.00	78.37	1.15	-0.15
920.61	34.08	0.34	-0.47	0.07	25.00	0.00	140.17	2.23	-0.87
347.15	34.17	0.42	0.03	0.08	25.00	0.00	1255.80	17.84	-3.13
903.52	35.50	0.45	-0.61	0.25	25.00	0.00	85.60	1.31	-0.30
989.07	34.75	0.42	-0.21	-0.00	25.00	0.00	256.75	3.80	-1.45
571.11	35.88	0.36	0.30	0.12	25.00	0.00	125.39	2.29	-0.90
614.80	35.31	0.46	0.46	0.19	25.00	0.00	317.18	4.93	-1.73
912.02	35.66	0.42	-0.19	0.09	25.00	0.00	283.30	4.70	-1.68
978.99	35.57	0.47	-0.25	0.01	25.00	0.00	176.92	2.61	-1.04
47.33	36.84	0.41	0.16	-0.09	25.00	0.00	507.58	6.59	-2.05
695.23	37.99	0.37	0.45	0.21	25.00	0.00	110.53	1.92	-0.71
1013.81	38.14	0.40	-0.35	-0.02	25.00	0.00	2627.89	39.74	-4.00
408.07	38.61	0.35	-0.14	0.15	25.00	0.00	74.90	1.22	-0.22
714.50	39.59	0.37	0.33	0.04	25.00	0.00	66.03	1.07	-0.07
958.29	38.37	0.45	-0.26	0.10	25.00	0.00	107.41	1.46	-0.41
886.68	39.94	0.39	-0.32	0.04	25.00	0.00	1134.89	17.19	-3.09
301.07	40.38	0.42	0.13	0.02	25.00	0.00	469.73	6.50	-2.03
357.92	40.31	0.46	0.33	0.09	25.00	0.00	689.23	9.86	-2.49
771.57	40.34	0.43	0.39	0.11	25.00	0.00	999.51	15.15	-2.95
179.58	41.88	0.51	0.11	-0.05	25.00	0.00	268.07	3.16	-1.25
377.13	41.77	0.46	0.95	0.15	25.00	0.00	76.33	1.05	-0.05
722.28	41.72	0.42	-0.27	-0.18	25.00	0.00	100.14	1.69	-0.57
5.37	43.08	0.41	0.02	0.43	25.00	0.00	97.08	1.09	-0.09
666.85	43.03	0.41	0.13	0.08	25.00	0.00	667.85	11.01	-2.60
935.35	43.08	0.41	-0.06	-0.04	25.00	0.00	588.95	9.05	-2.39
945.44	42.84	0.46	-0.12	-0.03	25.00	0.00	120.06	1.79	-0.63
1007.43	42.35	0.45	-0.32	-0.04	25.00	0.00	111.97	1.50	-0.44
365.18	43.95	0.45	0.01	-0.12	25.00	0.00	509.56	6.56	-2.04
708.34	43.35	0.50	-0.85	-0.39	25.00	0.00	72.77	1.01	-0.01
1015.38	43.55	0.45	-0.40	-0.02	25.00	0.00	1696.28	25.04	-3.50
36.82	45.66	0.30	0.25	0.12	25.00	0.00	90.33	1.13	-0.13
310.19	44.48	0.43	0.12	-0.03	25.00	0.00	3518.77	50.60	-4.26
713.92	44.32	0.50	0.53	0.23	25.00	0.00	197.42	2.88	-1.15
804.39	44.73	0.36	-0.12	-0.29	25.00	0.00	69.10	1.11	-0.11
847.45	45.76	0.34	0.25	0.01	25.00	0.00	108.23	1.23	-0.23
396.32	46.78	0.45	0.36	-0.14	25.00	0.00	105.59	1.43	-0.39
489.88	47.12	0.42	0.44	0.11	25.00	0.00	5703.67	88.41	-4.87
851.28	46.01	0.47	0.05	0.20	25.00	0.00	191.13	2.69	-1.07
444.30	47.95	0.45	0.12	-0.20	25.00	0.00	89.28	1.40	-0.37
336.70	48.66	0.57	0.30	-0.08	25.00	0.00	187.20	2.36	-0.93
37.80	49.53	0.53	-0.35	-0.40	25.00	0.00	174.95	1.78	-0.63
356.69	49.63	0.47	0.40	0.01	25.00	0.00	2529.18	37.14	-3.92
722.41	49.48	0.46	0.24	0.02	25.00	0.00	214.62	3.27	-1.29
657.11	51.14	0.36	0.19	0.40	25.00	0.00	104.41	1.74	-0.60
1013.02	51.29	0.41	-0.46	-0.03	25.00	0.00	549.84	7.72	-2.22
599.14	53.02	0.39	0.01	0.01	25.00	0.00	274.73	4.29	-1.58
617.34	52.39	0.43	-0.01	0.12	25.00	0.00	280.00	4.25	-1.57
622.67	53.01	0.52	-0.01	0.13	25.00	0.00	121.05	1.94	-0.72
798.76	53.30	0.43	-0.53	0.15	25.00	0.00	124.20	1.94	-0.72
219.79	53.44	0.46	0.28	0.03	25.00	0.00	2866.89	39.32	-3.99
236.53	53.28	0.52	-0.51	-0.18	25.00	0.00	79.68	1.05	-0.05
391.00	53.75	0.50	0.25	-0.33	25.00	0.00	253.37	3.14	-1.24
941.75	54.10	0.41	-0.64	0.08	25.00	0.00	78.11	1.29	-0.28
