ObservedAt:	
Star Data Extractor Tool: (Note: This program mocks format of AIP_4_WIN) 
	Image m23_3.5_071.fit
	Total no of stars: 2508
	Radius of star diaphragm: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
	Sky annulus inner radius: 
	Sky annulus outer radius: 
	Threshold factor: 
               X               Y           XFWHM           YFWHM        Avg FWHM         Sky ADU      Star ADU 1      Star ADU 2      Star ADU 3      Star ADU 4      Star ADU 5      Star ADU 6      Star ADU 7      Star ADU 8      Star ADU 9     Star ADU 10     Star ADU 11     Star ADU 12
          746.05          459.24          3.0814          2.7501          2.9158          739.24       652122.58      1224946.77      1609166.99      1704400.30      1735376.09      1744987.26      1750154.95      1753909.50      1756439.91      1758265.69      1759465.02      1760402.28
          546.92          493.71          3.0472          2.8073          2.9272          743.54       303822.49       539560.80       678422.56       712093.59       723539.49       728282.35       731434.02       733852.48       735303.51       736178.88       736852.40       737628.52
          462.49          522.94          3.1356          2.8944          3.0150          744.45       282502.57       512503.73       659757.86       697665.88       710035.06       714181.12       716459.59       718207.31       719631.27       721029.61       722093.74       723240.80
          230.49          347.37          3.7237          3.4622          3.5930          749.90       164010.13       357235.14       534090.79       593524.76       612791.30       618351.70       621074.39       623135.88       624981.97       626996.33       629015.98       631237.86
          112.18          420.17          4.1672          3.4639          3.8155          751.13       157131.18       327271.24       500331.69       578697.95       613659.28       624358.28       629207.46       632410.69       634852.51       637233.84       639087.10       640531.64
          152.93          615.04          4.1481          3.5855          3.8668          743.17       139225.65       301365.16       463575.95       528045.19       551653.04       558543.24       561823.33       564500.58       566794.13       568690.54       570276.16       571624.99
          957.67          389.45          2.8723          2.7744          2.8234          730.76       229032.82       398380.05       498038.33       522211.92       530706.95       533772.48       535617.79       537347.83       538975.63       540029.78       540700.08       541177.48
          500.18          375.99          2.9423          2.8016          2.8720          737.26       195823.62       349633.78       441862.27       464674.99       472084.35       474660.17       476039.64       477353.68       478746.43       480154.65       480885.08       481423.12
          550.22          571.70          2.9390          2.8356          2.8873          739.38       178424.76       324112.65       414736.35       437340.60       444572.78       446927.11       448200.00       449183.09       450475.44       454035.27       461404.98       470253.92
          369.44          409.03          3.2782          3.0575          3.1678          763.37       143131.97       281923.60       382810.71       411340.36       420636.66       424579.74       429206.34       435529.17       441386.41       444716.70       446216.40       447150.97
          579.79          819.28          2.9634          3.1842          3.0738          735.25       145009.23       261460.24       350836.61       382370.51       394245.04       397549.06       398887.53       399862.59       400598.56       401591.59       403343.79       405898.08
          479.35          571.96          3.0525          2.7965          2.9245          744.45       159609.56       278261.73       351071.93       370062.46       376476.31       378884.06       380923.77       384895.86       393237.63       406876.68       421443.40       429206.60
          336.38          573.75          3.5141          3.3526          3.4333          743.75       101269.16       212451.76       315109.82       350439.96       362324.96       367181.36       370823.14       374029.12       376364.29       377516.32       377892.85       377792.29
          586.39           96.56          2.9494          3.1518          3.0506          733.07       131249.30       235913.53       317621.31       347919.70       359483.59       362870.56       364483.15       365625.81       366413.44       367061.44       367407.70       367688.86
          365.76          362.10          3.3909          3.0489          3.2199          756.71       122739.11       229743.74       314419.03       342034.65       351832.00       354970.42       356606.63       358130.83       359278.91       360214.83       361094.88       362506.04
          700.73          685.88          2.7781          2.7800          2.7791          735.64       152714.67       261667.73       328042.27       345216.93       351241.32       353274.80       354406.06       355427.19       356257.81       356948.66       357514.20       358141.16
          579.93          561.08          3.0840          2.7366          2.9103          734.84       148897.54       258654.45       321853.36       338796.70       345331.04       347556.48       348454.20       349168.51       349790.19       350255.24       350438.27       350556.59
          457.30          309.75          3.0306          2.9303          2.9804          734.75       131655.13       232254.47       302777.57       325591.64       333645.96       336394.71       339447.61       347130.02       359410.54       370015.09       375662.84       377739.67
           82.67          774.74          4.2867          3.6209          3.9538          743.06        89853.83       182850.79       275967.74       322823.95       349300.04       358710.80       362964.81       365633.70       367128.24       368160.88       368615.53       369081.79
         1003.41          330.15          3.2014          2.7298          2.9656          734.48       143482.66       248559.43       311991.56       328829.70       334699.35       336528.28       337456.36       337995.26       338469.44       338714.31       338836.06       338904.40
          341.91          460.60          3.3274          2.9310          3.1292          760.92       111244.66       208429.62       285219.91       312578.76       322812.69       326051.78       327763.93       329054.97       329947.43       330807.42       331403.09       331960.74
          757.40          281.72          2.6862          2.8463          2.7662          732.71       127728.69       228159.19       295516.15       314201.69       320151.89       321994.10       322914.60       323671.92       324154.43       324290.02       324350.69       324549.27
          675.88          464.53          2.7101          2.6017          2.6559          736.65       131295.86       229186.09       293125.60       311141.18       318381.04       323989.84       332090.18       345689.49       354010.66       360561.27       364973.02       367395.28
          447.63          738.52          3.6387          3.1330          3.3859          737.33        80899.04       166848.08       248553.41       282225.01       295426.28       300140.66       303776.85       307434.53       310009.23       311420.73       312053.62       312760.72
          538.90          426.16          2.9128          2.6785          2.7957          737.36       118774.11       202407.41       248297.81       259129.16       262738.56       263947.58       264603.18       264896.40       265006.36       265082.49       265092.34       265041.78
          359.41          497.77          3.4727          3.0190          3.2459          760.92        76951.77       145324.54       197923.19       215564.28       222323.81       224798.75       226200.15       227754.46       230524.70       235765.62       241485.74       245252.61
          859.97          632.32          2.7551          2.7922          2.7737          733.05       101299.35       170546.31       209386.56       218684.13       221722.30       222573.13       223017.74       223405.80       223649.12       223930.47       224067.87       224241.70
          495.90          628.82          3.1722          2.9000          3.0361          737.76        84585.74       153308.21       197620.37       209355.90       213065.18       214017.44       214428.49       214653.88       214761.47       215113.97       215344.32       215573.14
          620.98          446.08          2.7718          2.6270          2.6994          735.71        97300.53       162463.43       195952.25       203677.76       206328.30       207294.33       207849.20       208425.07       208913.37       209172.99       209290.68       209506.15
          922.66          603.13          2.8410          2.7423          2.7916          732.42        86967.71       153061.16       193842.91       204325.61       207899.77       209202.06       210148.60       210972.84       211585.86       212379.61       213057.45       213555.73
          452.86          390.20          3.0740          2.8797          2.9769          745.36        76234.51       141426.73       185994.50       197468.11       200910.58       201697.26       201956.99       202048.02       202057.99       202002.45       202076.22       202507.19
          201.96          648.09          3.9509          3.4903          3.7206          740.43        57805.95       120064.67       176547.65       198203.34       206924.00       209914.38       211526.69       212759.18       213905.41       215129.64       216848.29       218956.73
          750.15          556.34          2.6866          2.6195          2.6531          734.69        89650.43       151739.51       186055.11       193982.55       196756.45       197755.79       198132.88       198418.22       198603.69       198661.41       198677.82       198736.29
          413.09          887.72          3.5566          3.6855          3.6211          740.23        55418.43       117677.91       175560.22       195237.24       201938.68       203898.02       204893.85       205710.10       206428.54       207290.85       208003.51       208830.28
          643.41          447.59          2.8497          2.6887          2.7692          736.31        79261.12       139312.08       177574.28       188229.54       191885.62       193015.64       193611.55       194475.45       195594.48       196448.00       196817.09       197057.36
          257.04          476.75          3.7449          3.1270          3.4360          758.88        59608.10       119077.50       166843.88       182451.43       187923.44       189840.67       191728.24       195013.41       202459.56       213593.74       228556.01       241032.34
          267.00          447.36          3.5728          3.0265          3.2996          761.10        63216.75       119385.61       163940.07       179363.36       185323.36       187578.76       189734.32       193307.14       198232.02       202728.20       207367.89       212788.86
          266.35          447.09          3.8161          3.3371          3.5766          761.10        48915.85       107232.93       160919.60       179554.58       185937.25       188837.38       191911.98       196096.11       199626.03       202765.87       205902.96       209803.67
          448.51          448.52          2.9957          2.6577          2.8267          748.46        72354.43       124289.61       160014.58       171750.34       176056.76       177481.36       178541.52       180021.54       181573.21       182504.91       183192.51       183834.80
          813.24          680.72          2.8277          2.8708          2.8493          735.55        70732.96       127669.06       163418.81       172448.56       175815.98       177365.84       178523.12       179613.75       180351.01       180892.30       180971.82       181225.39
          410.44          703.85          3.3110          3.2755          3.2932          739.62        51710.85       105675.05       149548.32       162683.28       166672.86       167679.92       168016.92       168222.01       168310.44       168601.67       169363.40       171074.57
          380.31          369.93          3.2117          2.8902          3.0509          756.71        65115.08       116571.77       150551.61       160373.64       163811.91       164825.03       165461.34       165955.46       166134.81       166554.74       167024.89       167581.18
          784.03          537.46          2.7227          2.7267          2.7247          731.36        73193.66       121218.51       146063.03       151857.26       153900.12       154661.88       155134.35       155471.58       155625.65       155624.23       155578.08       155564.50
          484.95          477.42          2.9310          2.7045          2.8177          748.46        65987.59       111975.73       140051.17       147398.06       149660.33       150268.80       150542.13       150621.43       150573.27       150461.68       150427.39       150327.11
          420.47          334.69          3.2061          2.9563          3.0812          742.77        54672.25       102369.70       134945.63       144922.32       149997.88       153588.46       155917.79       156804.86       156944.11       156690.87       156511.29       156264.09
          438.66          422.62          3.8782          3.3485          3.6134          757.55        34419.28        75628.34       118380.37       136456.64       144157.81       145801.91       146206.85       146285.48       146353.14       146726.11       147667.08       149084.61
          715.91          680.25          2.7531          2.8632          2.8081          737.64        66101.95       111949.79       138842.35       145616.74       147798.94       148439.58       148771.40       149088.69       149485.42       149953.65       150403.34       150813.38
          695.59          175.48          3.3258          2.9092          3.1175          731.07        48418.52        93832.60       128034.65       137868.22       141837.95       144253.44       145945.16       146940.55       147384.42       147550.37       147537.51       147364.45
          541.21          475.29          2.8213          2.6683          2.7448          743.54        57058.11        99853.37       125503.98       131487.22       133290.98       133810.65       134416.76       135677.51       137746.25       138715.39       139644.22       140764.26
          320.89          254.68          4.2690          3.0390          3.6540          736.72        47055.83        86036.34       115441.78       127264.16       135260.18       141856.34       147192.36       151153.42       153689.62       155145.85       156155.29       157219.79
          602.40          636.58          2.8833          2.7989          2.8411          734.04        54860.72        96415.43       121739.57       128010.96       129812.94       130237.00       130420.07       130790.21       131462.17       132405.81       133308.54       134207.49
          522.94          596.37          2.9212          2.7916          2.8564          736.30        53955.96        92044.29       115424.72       121628.93       123687.55       124234.49       124625.23       125095.73       125421.30       125617.54       125617.63       125569.51
          251.95          572.08          3.7580          3.1850          3.4715          742.57        39513.12        78663.35       110751.10       121714.18       125689.84       127136.02       128219.05       129498.92       131114.91       133180.61       134864.45       136415.53
          154.93          402.61          3.9688          3.3690          3.6689          749.21        33178.63        68694.51       102920.77       117526.62       123318.77       124913.37       125534.62       125867.22       126211.80       126645.54       126959.99       127347.95
          601.67          259.44          2.8594          2.7487          2.8040          732.23        44105.11        81635.72       107668.02       114713.17       117250.95       118458.08       119336.76       120245.51       120602.98       120702.95       120938.05       121214.00
          874.90          572.49          2.7578          2.7208          2.7393          729.72        54137.17        91078.83       111577.15       116467.74       118268.76       119081.94       120298.88       126741.83       134909.27       143441.72       144845.50       145144.73
          551.10          398.41          2.8418          2.5922          2.7170          737.36        47408.40        82482.43       103535.91       108555.61       110057.02       110455.47       110748.38       111081.22       111987.45       112930.88       113687.02       114003.79
          932.24          979.38          3.3229          3.7422          3.5326          732.53        37510.36        73105.88       101907.57       112738.81       117749.56       119834.59       121066.35       121975.70       122714.87       123470.05       123874.31       124073.86
          946.81          629.04          2.8832          2.7606          2.8219          732.42        47613.92        83263.84       105046.17       110461.20       112109.38       112454.47       112668.22       112738.08       112717.21       112826.75       112900.78       112896.44
          899.56          838.57          3.1304          3.6831          3.4067          736.15        32306.70        65964.70        97727.76       109231.36       113735.17       115306.53       116011.90       116430.70       116781.82       117577.08       119318.52       123011.13
          812.00          169.44          2.8179          2.9532          2.8856          731.04        46405.10        81545.02       102384.45       107461.16       109172.12       109613.45       109762.11       110167.56       111105.46       112203.48       113458.99       114596.61
          874.28          913.22          3.0268          3.4264          3.2266          734.29        36767.10        68672.43        93599.42       103103.55       107272.00       108519.58       109219.48       110262.83       111327.58       112080.81       112437.35       112868.40
           45.67          248.06          4.1761          3.3936          3.7849          748.84        28917.61        57523.71        86163.51       100990.92       109572.83       112868.70       114424.09       115432.23       116141.97       116579.87       116848.10       116985.48
          399.12          966.39          3.5713          3.9185          3.7449          739.42        28104.84        59188.53        90295.78       102624.41       107368.27       108681.65       109272.99       109711.19       110125.77       110582.98       110954.84       111213.38
          455.11          598.36          3.1115          2.9449          3.0282          737.76        36227.81        69072.52        93190.07        99862.20       101801.69       102307.24       102580.35       102828.91       103412.77       104418.52       105188.38       105794.78
          660.72          666.69          2.9015          2.9973          2.9494          735.64        37738.82        69082.20        91393.08        98242.38       100570.66       101216.40       101389.19       101381.88       101272.58       101313.77       101114.51       100867.54
           40.73          873.03          4.4008          3.7919          4.0963          738.42        26746.39        55214.69        84189.18        99650.45       109348.26       113181.44       114821.07       115664.93       116041.11       116267.45       116635.48       116885.55
          601.43          308.17          2.9165          2.7592          2.8379          732.23        44444.28        74612.01        91256.04        95498.06        97507.76        98662.96        99611.61       100421.68       101037.98       102260.19       104569.80       106607.94
          781.63          426.07          2.6328          2.5356          2.5842          733.31        44870.03        74897.67        92113.18        96277.39        97597.21        97946.73        98128.72        98230.06        98199.37        98214.41        98345.92        98549.97
